Player,Birth Year,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year_start,Year_end,Length,HOF
Jannero Pargo,1980.0,499.0,18.0,7449.0,1228.0,3140.0,0.3910828025477707,400.0,1124.0,0.35587188612099646,828.0,2016.0,0.4107142857142857,0.4547770700636943,319.0,369.0,0.8644986449864499,112.0,589.0,701.0,986.0,250.0,28.0,560.0,648.0,3175.0,11.752503691770709,0.4807168206979251,0.3579617834394904,0.11751592356687898,1.6967646663981741,9.15982011008189,5.398738085649082,22.54844945630286,1.7563565579272384,0.29599946301516983,14.550503423278293,23.66280037588938,-1.9999999999999996,7.1000000000000005,4.9,0.03195301382735938,-1.2548530004027387,-1.9210632299637533,-3.199852329171701,-2.3,2003.0,2015.0,13.0,0
Jared Cunningham,1992.0,84.0,3.0,605.0,60.0,173.0,0.3468208092485549,19.0,62.0,0.3064516129032258,41.0,111.0,0.36936936936936937,0.40173410404624277,58.0,86.0,0.6744186046511628,6.0,50.0,56.0,39.0,21.0,2.0,32.0,72.0,197.0,6.832231404958677,0.4671789034338836,0.3583815028901734,0.49710982658959535,1.107603305785124,9.275206611570248,5.273884297520661,9.28495867768595,1.8071074380165288,0.27107438016528923,13.131404958677686,18.061818181818182,-0.3,0.5,0.2,0.0174396694214876,-4.100495867768594,-1.828595041322314,-5.929090909090909,-0.6000000000000001,2013.0,2016.0,4.0,0
Jared Dudley,1986.0,740.0,260.0,17766.0,2233.0,4767.0,0.4684287812041116,781.0,1968.0,0.39684959349593496,1452.0,2799.0,0.5187566988210075,0.5503461296412838,873.0,1193.0,0.7317686504610227,753.0,1774.0,2527.0,1200.0,634.0,136.0,681.0,1372.0,6120.0,13.16044692108522,0.5782400338629458,0.4128382630585274,0.25026221942521504,4.881470224023415,11.282652257120342,8.068214567150736,10.060266801756164,1.8063717212653383,0.5781605313520206,11.484126984126984,14.962867274569401,26.400000000000002,12.899999999999999,39.3,0.10675182933693572,1.2547844196780367,0.04793988517392773,1.3048013058651355,14.699999999999998,2008.0,2017.0,10.0,0
Jared Jeffries,1982.0,629.0,335.0,13579.0,1163.0,2728.0,0.42631964809384165,73.0,292.0,0.25,1090.0,2436.0,0.44745484400656815,0.43969941348973607,604.0,1036.0,0.583011583011583,1166.0,1397.0,2563.0,798.0,435.0,323.0,674.0,1529.0,3003.0,9.58769423374328,0.4716003316749585,0.10703812316715543,0.37976539589442815,9.581964798586052,12.017166212534061,10.755166065247808,8.897017453420725,1.649142057588924,1.7862876500478677,17.54721260770307,12.64027542528905,2.9000000000000004,10.1,13.299999999999999,0.046355843582001614,-2.097937992488401,1.1944031224685174,-0.9008248030046393,3.7000000000000006,2003.0,2013.0,11.0,0
Jared Reiner,1983.0,46.0,4.0,376.0,25.0,73.0,0.3424657534246575,0.0,0.0,0.0,25.0,73.0,0.3424657534246575,0.3424657534246575,4.0,14.0,0.2857142857142857,34.0,75.0,109.0,14.0,8.0,13.0,23.0,80.0,54.0,3.9223404255319148,0.3410813542193027,0.0,0.1917808219178082,10.386170212765958,23.2063829787234,16.748936170212765,5.223404255319149,1.1351063829787236,2.637234042553191,22.554255319148936,12.24255319148936,-0.6,0.5,-0.1,-0.02208510638297873,-7.418085106382979,1.0265957446808511,-6.391489361702129,-0.4,2005.0,2007.0,3.0,0
Jared Sullinger,1993.0,269.0,172.0,6532.0,1172.0,2686.0,0.43633655994043186,141.0,518.0,0.2722007722007722,1031.0,2168.0,0.4755535055350554,0.4625837676842889,408.0,564.0,0.723404255319149,684.0,1322.0,2006.0,477.0,180.0,161.0,332.0,784.0,2893.0,16.256445192896507,0.4929860675627778,0.1928518242740134,0.2099776619508563,11.485088793631352,22.675382731169627,17.015278628291487,12.017881200244949,1.3821187997550521,1.8950244947948562,10.158557868952848,21.99349357011635,6.199999999999999,9.2,15.299999999999999,0.11261114513165953,-0.33075627679118186,0.8024954072259646,0.4853949785670545,4.1,2013.0,2017.0,5.0,0
Jarell Eddie,1992.0,31.0,0.0,209.0,26.0,84.0,0.30952380952380953,19.0,63.0,0.30158730158730157,7.0,21.0,0.3333333333333333,0.4226190476190476,16.0,17.0,0.9411764705882353,3.0,27.0,30.0,5.0,6.0,1.0,2.0,6.0,87.0,10.614354066985646,0.4755137735024049,0.75,0.20238095238095238,1.5593301435406697,14.668421052631578,7.999043062200958,3.5167464114832536,1.4330143540669857,0.42200956937799045,2.230622009569378,19.36507177033493,0.1,0.1,0.2,0.04837320574162679,-1.5,-4.000956937799043,-5.471291866028708,-0.2,2016.0,2017.0,2.0,0
Jarell Martin,1995.0,69.0,3.0,938.0,112.0,267.0,0.41947565543071164,9.0,27.0,0.3333333333333333,103.0,240.0,0.42916666666666664,0.4363295880149813,85.0,112.0,0.7589285714285714,81.0,167.0,248.0,23.0,25.0,16.0,47.0,149.0,318.0,10.847121535181236,0.5027191096496776,0.10112359550561797,0.41947565543071164,9.534328358208956,21.005756929637528,15.101066098081025,3.901492537313433,1.397441364605544,1.5810234541577826,13.008742004264393,17.534328358208953,0.3,1.0,1.4,0.07263539445628998,-4.098507462686567,-1.0051172707889124,-5.10362473347548,-0.7,2016.0,2017.0,2.0,0
Jaren Jackson,1968.0,431.0,71.0,7210.0,865.0,2215.0,0.3905191873589165,346.0,980.0,0.35306122448979593,519.0,1235.0,0.4202429149797571,0.4686230248306998,294.0,385.0,0.7636363636363637,207.0,579.0,786.0,500.0,258.0,53.0,348.0,725.0,2370.0,10.100804438280166,0.4969803724207348,0.44243792325056436,0.17381489841986456,3.3324271844660194,8.876976421636616,6.212524271844661,10.835090152565883,1.899112343966713,0.5400554785020805,12.637988904299581,17.20228848821082,2.3000000000000003,8.999999999999998,11.499999999999998,0.07659528432732317,-0.6767822468793344,-0.17036061026352284,-0.778488210818308,2.1,1990.0,2002.0,13.0,0
Jarnell Stokes,1994.0,28.0,2.0,151.0,25.0,43.0,0.5813953488372093,0.0,0.0,0.0,25.0,43.0,0.5813953488372093,0.5813953488372093,17.0,32.0,0.53125,18.0,22.0,40.0,7.0,7.0,5.0,7.0,29.0,67.0,19.364900662251657,0.5868955851436579,0.0,0.7441860465116279,13.647019867549668,16.565562913907286,15.084768211920531,7.3423841059602655,2.410596026490066,2.75364238410596,10.347019867549669,19.410596026490065,0.5,0.2,0.7,0.20237086092715234,0.3682119205298014,0.6317880794701987,1.0119205298013245,0.1,2015.0,2017.0,3.0,0
