Player,Birth Year,Final,Champion
Chris Munk,1968.0,0,0
Chris Owens,1980.0,0,0
Chris Paul,1986.0,0,0
Chris Porter,1979.0,0,0
Chris Quinn,1984.0,0,0
Chris Richard,1985.0,0,0
Chris Robinson,1975.0,0,0
Chris Singleton,1990.0,0,0
Chris Smith,1971.0,0,0
Chris Smith,1988.0,0,0
Chris Taft,1986.0,0,0
Chris Washburn,1966.0,0,0
Chris Webber,1974.0,0,0
Chris Welp,1964.0,0,0
Chris Whitney,1972.0,0,0
Chris Wilcox,1983.0,0,0
Chris Wright,1989.0,0,0
Chris Wright,1990.0,0,0
Christian Eyenga,1990.0,0,0
Christian Laettner,1970.0,0,0
Christian Wood,1996.0,0,0
Chubby Cox,1956.0,0,0
Chuck Aleksinas,1960.0,0,0
Chuck Hayes,1984.0,0,0
Chuck Nevitt,1960.0,3,2
Chuck Person,1965.0,0,0
Chucky Atkins,1975.0,1,1
Chucky Brown,1969.0,1,1
Clarence Kea,1960.0,0,0
Clarence Weatherspoon,1971.0,0,0
Clark Kellogg,1962.0,0,0
Claude Gregory,1959.0,0,0
Clay Johnson,1957.0,2,1
Cleanthony Early,1992.0,0,0
Clemon Johnson,1957.0,1,1
Cliff Alexander,1996.0,0,0
Cliff Levingston,1961.0,2,2
Cliff Robinson,1961.0,0,0
Clifford Lett,1966.0,0,0
Clifford Robinson,1967.0,2,0
Clifford Rozier,1973.0,0,0
Clint Capela,1995.0,0,0
Clint McDaniel,1973.0,0,0
Clint Richardson,1957.0,3,1
Clinton Smith,1964.0,0,0
Clinton Wheeler,1960.0,0,0
Clyde Drexler,1963.0,3,1
Coby Dietrick,1949.0,0,0
Coby Karl,1984.0,1,0
Cody Zeller,1993.0,0,0
Cole Aldrich,1989.0,1,0
Conner Henry,1964.0,1,0
Corey Beck,1972.0,0,0
Corey Benjamin,1979.0,0,0
Corey Brewer,1987.0,1,1
Corey Crowder,1970.0,0,0
Corey Gaines,1966.0,1,0
Corey Maggette,1980.0,0,0
Corey Williams,1971.0,1,1
Corie Blount,1969.0,0,0
Corliss Williamson,1974.0,1,1
Corny Thompson,1961.0,0,0
Corsley Edwards,1980.0,0,0
Cory Alexander,1974.0,0,0
Cory Blackwell,1964.0,0,0
Cory Carr,1976.0,0,0
Cory Higgins,1990.0,0,0
Cory Jefferson,1991.0,0,0
Cory Joseph,1992.0,2,1
Coty Clarke,1993.0,0,0
Courtney Alexander,1978.0,0,0
