Player,Birth Year,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year_start,Year_end,Length,HOF,AllStar_MVP,Final_MVP,DPOY,Final,Champion,AllStar,First team,Second team,Third team,MVPs
Patrick Eddie,1968.0,4.0,0.0,13.0,2.0,9.0,0.2222222222222222,0.0,0.0,0.0,2.0,9.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,-8.8,0.2222222222222222,0.0,0.0,0.0,8.7,4.4,0.0,0.0,0.0,0.0,30.2,-0.1,0.0,-0.1,-0.267,-16.8,-8.1,-24.9,-0.1,1992.0,1992.0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Patrick Ewing,1963.0,1183.0,1122.0,40594.0,9702.0,19241.0,0.5042357465828179,19.0,125.0,0.152,9683.0,19116.0,0.5065390249006069,0.5047294839145574,5392.0,7289.0,0.7397448209630951,2752.0,8855.0,11607.0,2215.0,1136.0,2894.0,3537.0,4034.0,24815.0,21.012001773661133,0.5527179065010229,0.006496543838677824,0.3788264643209812,7.862437798689463,24.69600187219786,16.420823274375525,9.76808641671183,1.4269005271715034,4.733177316844854,13.672252056954227,28.00772035276149,44.90000000000001,81.5,126.5,0.14949460511405627,-0.5228629846775386,2.498376607380401,2.0042493964625314,41.00000000000001,1986.0,2002.0,17.0,1,0.0,0.0,0.0,2,0,11.0,0.0,0.0,0.0,0.0
Patrick Ewing,1985.0,7.0,0.0,19.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,0.6,0.22189349112426035,0.4,0.8,6.4,6.4,6.4,14.2,0.0,4.4,12.9,19.5,-0.1,0.0,-0.1,-0.158,-8.7,-0.6,-9.3,0.0,2011.0,2011.0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Patrick McCaw,1996.0,71.0,20.0,1074.0,106.0,245.0,0.4326530612244898,41.0,123.0,0.3333333333333333,65.0,122.0,0.5327868852459017,0.5163265306122449,29.0,37.0,0.7837837837837838,22.0,79.0,101.0,77.0,32.0,15.0,36.0,62.0,282.0,8.6,0.5396509491733007,0.5020408163265306,0.1510204081632653,2.4,7.6,5.2,9.0,1.4,1.1,12.1,11.9,0.6,1.2,1.7,0.077,-1.6,-0.1,-1.7,0.1,2017.0,2017.0,1.0,0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
Patrick O'Bryant,1987.0,90.0,3.0,524.0,79.0,160.0,0.49375,0.0,3.0,0.0,79.0,157.0,0.5031847133757962,0.49375,28.0,48.0,0.5833333333333334,32.0,95.0,127.0,25.0,18.0,40.0,42.0,126.0,186.0,11.008778625954196,0.5134717314487632,0.01875,0.3,6.928625954198473,20.793320610687026,13.948091603053436,7.159351145038168,1.7015267175572515,5.860305343511452,18.767175572519086,19.086832061068698,-0.4,1.0,0.5,0.0455324427480916,-5.3232824427480905,2.2074427480916032,-3.1347328244274815,-0.2,2007.0,2010.0,4.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Patrick Patterson,1990.0,477.0,73.0,11434.0,1516.0,3302.0,0.4591156874621442,411.0,1117.0,0.36794986571172783,1105.0,2185.0,0.505720823798627,0.5213506965475471,303.0,407.0,0.7444717444717445,694.0,1537.0,2231.0,578.0,283.0,249.0,363.0,884.0,3746.0,13.212410355081337,0.5380514093327358,0.33827983040581466,0.12325863113264687,6.95106699317824,15.3898198355781,11.194630050725904,7.815069092181214,1.2931869861815637,1.6790274619555707,9.482210949798846,15.079342312401609,14.8,10.1,24.9,0.1049797970963792,0.3930470526499912,0.34476123841175443,0.7378082910617457,7.8,2011.0,2017.0,7.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Patty Mills,1989.0,441.0,18.0,7482.0,1291.0,2959.0,0.4362960459614735,592.0,1499.0,0.3949299533022015,699.0,1460.0,0.4787671232876712,0.5363298411625549,290.0,348.0,0.8333333333333334,139.0,536.0,675.0,957.0,283.0,26.0,406.0,521.0,3464.0,15.421839080459767,0.5565338097502667,0.506590064210882,0.1176072997634336,2.170061480887464,7.945977011494253,5.148075380914193,19.983881315156374,1.9513231756214915,0.2491312483293237,11.519313017909651,21.44907778668805,10.5,9.400000000000002,20.0,0.12808674151296448,2.191165463779738,-1.2921946003742315,0.9131649291633251,5.6,2010.0,2017.0,8.0,0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0
Pau Gasol,1981.0,1119.0,1081.0,38829.0,7651.0,15008.0,0.5097947761194029,130.0,353.0,0.36827195467422097,7521.0,14655.0,0.5132036847492324,0.5141257995735607,4569.0,6062.0,0.7537116463213461,2934.0,7615.0,10549.0,3635.0,577.0,1847.0,2514.0,2482.0,20001.0,21.530407684977718,0.5657901883308214,0.02352078891257996,0.4039179104477612,8.631146823250662,21.715794895567747,15.263243967137964,16.503221818743725,0.7634242447655103,3.5244507970846533,12.424504880372918,23.535921604985965,86.7,50.40000000000001,136.8,0.16936127636560305,1.5629529475392103,1.9789126683664269,3.5378634525741077,54.3,2002.0,2017.0,16.0,0,0.0,0.0,0.0,3,2,6.0,0.0,0.0,0.0,0.0
Paul Davis,1985.0,82.0,2.0,702.0,88.0,219.0,0.4018264840182648,0.0,1.0,0.0,88.0,218.0,0.4036697247706422,0.4018264840182648,41.0,56.0,0.7321428571428571,74.0,84.0,158.0,32.0,22.0,15.0,30.0,105.0,217.0,10.615954415954416,0.44532917419143,0.0045662100456621,0.2557077625570776,12.172649572649574,14.154985754985757,13.128205128205128,7.694586894586894,1.6330484330484332,1.6270655270655272,11.052706552706551,17.845014245014244,-0.1,0.6000000000000001,0.4,0.03521652421652422,-3.7649572649572653,-0.9034188034188034,-4.694017094017092,-0.5,2007.0,2010.0,4.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Paul George,1991.0,448.0,400.0,14692.0,2775.0,6419.0,0.4323103287116373,897.0,2425.0,0.3698969072164948,1878.0,3994.0,0.4702053079619429,0.5021810250817884,1643.0,1934.0,0.8495346432264737,386.0,2430.0,2816.0,1419.0,738.0,194.0,1139.0,1190.0,8090.0,18.46918731282331,0.5563992098993668,0.3777847016669263,0.3012930362984889,2.993942281513749,18.122338687721207,10.672992104546694,16.93752382248843,2.5983120065341683,1.034175061257827,13.614068881023686,25.76615164715491,18.6,25.9,44.5,0.14531997005172884,2.3082425809964606,1.430846719303022,3.7530356656683903,21.2,2011.0,2017.0,7.0,0,0.0,0.0,0.0,0,0,6.0,0.0,0.0,0.0,0.0
